Date,Open,High,Low,Close,Volume,Adj Close
2014-07-23,559.50,572.70,554.40,571.00,2168500,571.00
2014-07-22,544.15,561.00,542.60,558.75,1866000,558.75
2014-07-21,550.05,553.40,542.50,544.95,2017200,544.95
2014-07-18,545.10,555.00,544.20,547.05,3540200,542.05
2014-07-17,535.85,544.65,534.00,537.35,1657200,532.44
2014-07-16,539.70,539.70,532.75,535.30,882900,530.41
2014-07-15,538.15,542.40,534.20,535.85,937900,530.95
2014-07-14,552.00,555.00,537.00,538.80,1413000,533.88
2014-07-11,550.35,556.70,547.05,552.85,1530800,547.80
2014-07-10,546.00,558.00,540.00,544.75,1655700,539.77
2014-07-09,549.25,554.90,541.30,545.30,980700,540.32
2014-07-08,558.00,558.85,548.00,549.75,1293700,544.73
2014-07-07,549.00,559.00,549.00,557.60,1957500,552.50
2014-07-04,559.50,559.55,543.90,546.75,1138000,541.75
2014-07-03,547.00,558.05,544.15,555.50,2241400,550.42
2014-07-02,542.00,548.65,538.40,540.85,1612800,535.91
2014-07-01,547.90,547.90,536.00,538.20,1408400,533.28
2014-06-30,548.95,553.00,543.65,546.40,1431900,541.41
2014-06-27,540.00,549.00,536.30,545.95,1870400,540.96
2014-06-26,531.00,539.90,529.10,535.45,2881300,525.60
2014-06-25,531.10,534.00,526.00,529.15,1186300,519.42
2014-06-24,534.00,534.00,527.20,531.30,1065500,521.53
2014-06-23,534.10,537.00,529.00,531.40,980200,521.63
2014-06-20,540.50,543.30,531.20,536.80,1205700,526.93
2014-06-19,528.00,539.95,527.85,537.20,1802600,527.32
2014-06-18,537.85,539.25,528.15,530.50,1406900,520.74
2014-06-17,539.00,542.00,533.70,536.10,1670200,526.24
2014-06-16,531.40,538.00,529.05,536.10,1964200,526.24
2014-06-13,532.25,535.65,525.00,530.40,1646400,520.64
2014-06-12,532.05,533.95,522.75,532.15,2013500,522.36
2014-06-11,526.40,537.50,523.70,527.70,2880400,517.99
2014-06-10,511.80,526.30,511.80,525.00,3170300,515.34
2014-06-09,510.00,516.10,505.10,510.35,1498500,500.96
2014-06-06,504.00,510.70,495.00,509.15,2243000,499.79
2014-06-05,493.50,502.50,490.35,500.95,2068100,491.74
2014-06-04,496.00,497.05,485.20,492.05,1745900,483.00
2014-06-03,503.90,503.90,492.10,494.20,1848200,485.11
2014-06-02,506.70,507.00,498.00,499.10,1189500,489.92
2014-05-30,500.00,509.40,485.00,506.20,2350700,496.89
2014-05-29,514.00,514.30,495.05,499.80,2600600,490.61
2014-05-28,512.00,515.70,503.25,514.25,1934200,504.79
2014-05-27,511.70,518.65,503.25,508.20,2077800,498.85
2014-05-26,493.00,509.90,490.10,506.00,2677900,496.69
2014-05-23,483.70,493.50,480.45,490.00,2680500,480.99
2014-05-22,494.90,497.00,482.05,483.50,2255400,474.61
2014-05-21,496.00,498.10,486.20,493.10,2286800,484.03
2014-05-20,486.00,498.70,483.40,494.65,3068500,485.55
2014-05-19,503.25,504.85,474.70,482.05,3612300,473.18
2014-05-16,521.00,531.00,497.50,502.80,4826800,493.55
2014-05-15,525.30,526.95,513.00,516.50,1461100,507.00
2014-05-14,531.00,531.95,522.10,524.55,1393100,514.90
2014-05-13,515.00,530.40,512.50,529.20,1927500,519.47
2014-05-12,513.35,516.00,501.75,511.95,2960400,502.53
2014-05-09,508.00,517.90,508.00,513.95,1475700,504.50
2014-05-08,505.65,515.70,501.60,510.95,1545900,501.55
2014-05-07,510.10,514.65,500.00,506.10,3703600,496.79
2014-05-06,519.00,525.00,513.65,514.85,1287000,505.38
2014-05-05,524.00,529.00,519.05,520.75,1748200,511.17
2014-05-02,518.20,530.80,518.20,528.50,2138600,518.78
2014-05-01,522.35,522.35,522.35,522.35,000,512.74
2014-04-30,529.00,529.90,517.60,522.35,2424900,512.74
2014-04-29,531.00,536.50,523.00,524.80,2276600,515.15
2014-04-28,520.05,531.60,518.00,529.60,3187800,519.86
2014-04-25,527.50,528.65,517.00,519.25,3071200,509.70
2014-04-24,524.70,524.70,524.70,524.70,000,515.05
2014-04-23,533.00,538.70,521.00,524.70,4505000,515.05
2014-04-22,549.00,554.90,526.00,530.55,4252300,520.79
2014-04-21,566.00,568.30,544.05,546.20,5708900,536.15
2014-04-18,585.85,585.85,585.85,585.85,000,575.07
2014-04-17,576.90,589.55,573.55,585.85,1898400,575.07
2014-04-16,594.70,594.70,568.10,572.10,1979800,561.58
2014-04-15,565.05,591.35,565.05,588.55,2355400,577.73
2014-04-14,568.10,568.10,568.10,568.10,000,557.65
2014-04-11,555.60,570.80,551.00,568.10,1766100,557.65
2014-04-10,555.00,564.90,550.50,561.20,1445000,550.88
2014-04-09,559.00,562.45,549.50,554.45,1444800,544.25
2014-04-08,556.90,556.90,556.90,556.90,000,546.66
2014-04-07,553.00,560.60,551.45,556.90,1139000,546.66
2014-04-04,565.00,568.95,551.45,553.40,1028500,543.22
2014-04-03,565.00,568.05,557.65,560.95,923700,550.63
2014-04-02,564.50,572.50,559.00,565.90,1796200,555.49
2014-04-01,547.00,563.00,546.95,561.05,1886600,550.73
2014-03-31,552.00,554.10,538.50,543.20,2666200,533.21
2014-03-28,554.05,559.45,550.45,552.05,1133200,541.90
2014-03-27,546.00,559.95,540.00,553.40,2207300,543.22
2014-03-26,550.90,557.70,544.00,545.55,1344700,535.52
2014-03-25,557.35,559.95,546.15,548.50,2300800,538.41
2014-03-24,571.00,575.00,561.15,562.80,1045700,552.45
2014-03-21,558.65,577.50,554.00,568.20,3412100,557.75
2014-03-20,547.00,559.80,546.00,552.35,1691200,542.19
2014-03-19,540.55,549.95,528.70,545.10,2138900,535.07
2014-03-18,550.00,551.00,537.25,540.45,1820700,530.51
2014-03-17,547.60,547.60,547.60,547.60,000,537.53
2014-03-14,564.00,564.00,544.60,547.60,2234300,537.53
2014-03-13,562.00,574.80,550.60,563.60,1969200,553.23
2014-03-12,559.90,570.00,559.00,566.75,1211900,556.33
2014-03-11,557.00,566.55,553.40,559.85,1796800,549.55
2014-03-10,564.10,571.75,555.10,557.25,2073300,547.00
2014-03-07,588.00,588.00,559.95,565.35,1981600,554.95
2014-03-06,592.00,594.85,583.50,584.85,1244900,574.09
2014-03-05,593.10,596.00,586.45,590.50,1679800,579.64
2014-03-04,586.00,594.80,585.15,588.20,1403100,577.38
2014-03-03,600.00,600.00,583.10,585.90,934400,575.12
2014-02-28,603.00,605.00,589.50,597.25,1820600,586.27
2014-02-27,603.05,603.05,603.05,603.05,000,591.96
2014-02-26,596.00,611.00,593.70,603.05,2739600,591.96
2014-02-25,580.00,598.00,580.00,596.25,1651500,585.28
2014-02-24,573.10,581.95,570.00,577.65,1041200,567.03
2014-02-21,565.50,575.00,565.50,571.55,1353400,561.04
2014-02-20,564.95,570.65,561.10,565.20,1095600,554.80
2014-02-19,556.00,568.00,556.00,565.55,746600,555.15
2014-02-18,559.25,564.90,554.45,557.05,922400,546.80
2014-02-17,565.00,569.50,557.00,561.00,856500,550.68
2014-02-14,556.55,566.25,552.70,563.80,1194100,553.43
2014-02-13,565.00,566.00,549.80,555.20,1089400,544.99
2014-02-12,564.55,571.20,558.05,562.45,1418500,552.11
2014-02-11,566.00,571.40,560.30,563.15,1364500,552.79
2014-02-10,563.00,569.60,561.10,563.20,1045000,552.84
2014-02-07,569.95,573.85,556.55,561.65,1380000,551.32
2014-02-06,559.10,571.70,555.00,568.55,2669000,558.09
2014-02-05,558.00,565.45,550.80,560.40,1585000,550.09
2014-02-04,561.70,561.70,544.00,555.65,2108800,545.43
2014-02-03,563.20,574.00,562.15,565.95,1131600,555.54
2014-01-31,571.90,579.65,569.80,575.05,1046600,564.47
2014-01-30,568.00,574.80,561.65,571.20,1943000,560.69
2014-01-29,565.00,575.80,565.00,571.50,1140800,560.99
2014-01-28,568.80,572.90,564.10,567.60,1152900,557.16
2014-01-27,570.00,579.00,565.70,570.55,1949200,560.06
2014-01-24,575.60,587.00,570.45,572.85,2151600,562.31
2014-01-23,576.00,580.35,565.00,578.50,2039800,567.86
2014-01-22,570.00,582.85,568.05,577.95,2096700,567.32
2014-01-21,574.75,578.00,568.40,571.55,2214100,558.09
2014-01-20,552.60,577.70,552.10,573.05,4712000,559.56
2014-01-17,575.00,575.90,549.30,552.70,2517600,539.69
2014-01-16,555.00,573.85,555.00,571.55,1717000,558.09
2014-01-15,557.25,564.00,551.70,560.70,1303000,547.50
2014-01-14,562.55,563.00,549.60,553.60,1460400,540.57
2014-01-13,555.00,568.00,555.00,561.45,1891200,548.23
2014-01-10,543.10,556.90,531.60,553.35,2657800,540.32
2014-01-09,547.00,553.75,537.55,540.90,1637100,528.16
2014-01-08,549.00,550.90,543.45,547.15,1077500,534.27
2014-01-07,558.00,558.70,545.00,550.20,1232200,537.25
2014-01-06,559.90,564.80,555.00,558.00,1855500,544.86
2014-01-03,547.00,558.40,546.30,556.60,1107600,543.49
2014-01-02,552.70,556.80,546.15,552.95,915400,539.93
2014-01-01,564.00,564.00,551.10,552.70,443000,539.69
2013-12-31,555.00,561.50,549.25,559.20,704300,546.03
2013-12-30,555.30,557.95,546.15,551.55,876100,538.56
2013-12-27,550.00,557.40,547.00,555.10,1160300,542.03
2013-12-26,541.25,552.00,536.65,548.60,2132800,535.68
2013-12-25,540.10,540.10,540.10,540.10,000,527.38
2013-12-24,550.65,554.00,539.00,540.10,733500,527.38
2013-12-23,549.55,556.90,544.55,552.00,1663400,539.00
2013-12-20,534.40,552.70,530.35,548.90,2653500,535.98
2013-12-19,522.25,538.20,518.30,529.15,2336500,516.69
2013-12-18,517.90,523.90,512.95,521.70,1019500,509.42
2013-12-17,525.25,529.95,515.25,517.90,1269300,505.71
2013-12-16,520.00,526.10,515.25,524.10,2269300,511.76
2013-12-13,509.90,520.30,507.45,518.75,1050600,506.54
2013-12-12,515.00,516.50,508.30,510.65,900500,498.63
2013-12-11,513.00,521.50,510.00,518.60,1795100,506.39
2013-12-10,507.10,522.65,502.60,516.70,3561300,504.53
2013-12-09,498.00,509.00,490.60,507.20,1563400,495.26
2013-12-06,489.60,498.00,486.00,493.80,1314000,482.17
2013-12-05,496.00,498.75,486.05,492.90,1986300,481.29
2013-12-04,480.65,494.80,479.10,491.35,2171500,479.78
2013-12-03,484.00,486.30,480.80,482.45,1533100,471.09
2013-12-02,474.00,484.00,466.65,481.25,2206900,469.92
2013-11-29,476.75,476.75,469.90,470.80,1750000,459.72
2013-11-28,471.00,475.00,470.50,472.60,2002200,461.47
2013-11-27,473.25,475.35,468.40,469.80,1563400,458.74
2013-11-26,477.10,479.60,471.30,474.90,2198000,463.72
2013-11-25,479.00,483.60,477.65,478.85,1584000,467.58
2013-11-22,480.50,482.90,477.10,477.95,935500,466.70
2013-11-21,482.05,486.95,475.80,478.40,2222300,467.14
2013-11-20,485.25,493.50,480.25,483.05,1475800,471.68
2013-11-19,493.25,494.00,487.25,488.05,1652000,476.56
